Enzyme 	KO 	D 	C 	B 	A 	
F43G9.1 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	1.1.1.41  isocitrate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C30F12.7 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	1.1.1.41  isocitrate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C34F6.8 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	1.1.1.42  isocitrate dehydrogenase (NADP+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F59B8.2 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	1.1.1.42  isocitrate dehydrogenase (NADP+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T25B9.9 hypothetical protein	K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44] 	1.1.1.44  phosphogluconate dehydrogenase (decarboxylating) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y71F9B.9 hypothetical protein	K13247 L-gulonate 3-dehydrogenase [EC:1.1.1.45] 	1.1.1.45  L-gulonate 3-dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
B0035.5 glucose-6-phosphate-1-dehydrogenase	K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49] 	1.1.1.49  glucose-6-phosphate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C31C9.2 hypothetical protein	K00058 D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] 	1.1.1.95  phosphoglycerate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F08F3.4 hypothetical protein	K15789 threonine 3-dehydrogenase [EC:1.1.1.103] 	1.1.1.103  L-threonine 3-dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T11F9.11 dhs-19; DeHydrogenases, Short chain family member (dhs-19)	K15734 all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105] 	1.1.1.105  all-trans-retinol dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T02E1.5 dhs-3; DeHydrogenases, Short chain family member (dhs-3)	K15734 all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105] 	1.1.1.105  all-trans-retinol dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F01G4.2 ard-1; Alcohol/Ribitol Dehydrogenase family member (ard-1)	K08683 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178] 	1.1.1.178  3-hydroxy-2-methylbutyryl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T22D1.3 hypothetical protein	K00088 IMP dehydrogenase [EC:1.1.1.205] 	1.1.1.205  IMP dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T08B2.7 hypothetical protein	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	1.1.1.211  long-chain-3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C29F3.1 ech-1; Enoyl-CoA Hydratase family member (ech-1)	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	1.1.1.211  long-chain-3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
R01H2.5 ger-1; GDP-keto-6-deoxymannose 3,5-Epimerase/4-Reductase family member (ger-1)	K02377 GDP-L-fucose synthase [EC:1.1.1.271] 	1.1.1.271  GDP-L-fucose synthase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
H24K24.3 hypothetical protein	K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] 	1.1.1.284  S-(hydroxymethyl)glutathione dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C06B3.4 stdh-1; STeroid DeHydrogenase family member (stdh-1)	K00100 [EC:1.1.1.-] 	1.1.1.- 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C06B3.5 stdh-3; STeroid DeHydrogenase family member (stdh-3)	K00100 [EC:1.1.1.-] 	1.1.1.- 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C56G2.6 let-767; LEThal family member (let-767)	K00100 [EC:1.1.1.-] 	1.1.1.- 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F25G6.5 stdh-4; STeroid DeHydrogenase family member (stdh-4)	K00100 [EC:1.1.1.-] 	1.1.1.- 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F11A5.12 stdh-2; STeroid DeHydrogenase family member (stdh-2)	K00100 [EC:1.1.1.-] 	1.1.1.- 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F32D8.12 hypothetical protein	K00102 D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4] 	1.1.2.4  D-lactate dehydrogenase (cytochrome) 	1.1.2  With a cytochrome as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F41E6.5 hypothetical protein	K11517 (S)-2-hydroxy-acid oxidase [EC:1.1.3.15] 	1.1.3.15  (S)-2-hydroxy-acid oxidase 	1.1.3  With oxygen as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
T25G3.4 hypothetical protein	K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3] 	1.1.5.3  glycerol-3-phosphate dehydrogenase 	1.1.5  With a quinone or similar compound as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C34C6.4 hypothetical protein	K00108 choline dehydrogenase [EC:1.1.99.1] 	1.1.99.1  choline dehydrogenase 	1.1.99  With other acceptors 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y45G12B.3 hypothetical protein	K00109 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2] 	1.1.99.2  2-hydroxyglutarate dehydrogenase 	1.1.99  With other acceptors 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y38F1A.6 hypothetical protein	K11173 hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24] 	1.1.99.24  hydroxyacid-oxoacid transhydrogenase 	1.1.99  With other acceptors 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F36H9.3 dhs-13; DeHydrogenases, Short chain family member (dhs-13)	K11147 dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-] 	1.1.-.- 	1.1.-  Acting on the CH-OH group of donors 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y32H12A.3 dhs-9; DeHydrogenases, Short chain family member (dhs-9)	K11163 dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-] 	1.1.-.- 	1.1.-  Acting on the CH-OH group of donors 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	1.2.1.3  aldehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	1.2.1.3  aldehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	1.2.1.3  aldehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	1.2.1.3  aldehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	1.2.1.3  aldehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	1.2.1.5  aldehyde dehydrogenase [NAD(P)+] 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	1.2.1.8  betaine-aldehyde dehydrogenase 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T09F3.3 gpd-1; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-1)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	1.2.1.12  glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F33H1.2 gpd-4; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-4)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	1.2.1.12  glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
K10B3.7 gpd-3; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-3)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	1.2.1.12  glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
K10B3.8 gpd-2; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-2)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	1.2.1.12  glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F13D12.4 alh-8; ALdehyde deHydrogenase family member (alh-8)	K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] 	1.2.1.18  malonate-semialdehyde dehydrogenase (acetylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F45H10.1 alh-7; ALdehyde deHydrogenase family member (alh-7)	K00139 succinate-semialdehyde dehydrogenase [EC:1.2.1.24] 	1.2.1.24  succinate-semialdehyde dehydrogenase (NAD+) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F13D12.4 alh-8; ALdehyde deHydrogenase family member (alh-8)	K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] 	1.2.1.27  methylmalonate-semialdehyde dehydrogenase (acylating) 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	1.2.1.31  L-aminoadipate-semialdehyde dehydrogenase 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T22H6.2 hypothetical protein	K12657 delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41] 	1.2.1.41  glutamate-5-semialdehyde dehydrogenase 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	1.2.1.47  4-trimethylammoniobutyraldehyde dehydrogenase 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
Y71H10A.2 hypothetical protein	K13356 fatty acyl-CoA reductase [EC:1.2.1.-] 	1.2.1.- 	1.2.1  With NAD+ or NADP+ as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T05H10.6 hypothetical protein	K00161 pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1] 	1.2.4.1  pyruvate dehydrogenase (acetyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
C04C3.3 hypothetical protein	K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] 	1.2.4.1  pyruvate dehydrogenase (acetyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
T22B11.5 hypothetical protein	K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 	1.2.4.2  oxoglutarate dehydrogenase (succinyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
ZK836.2 hypothetical protein	K15791 probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2] 	1.2.4.2  oxoglutarate dehydrogenase (succinyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
Y39E4A.3 hypothetical protein	K00166 2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4] 	1.2.4.4  3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
F27D4.5 tag-173; Temporarily Assigned Gene name family member (tag-173)	K00167 2-oxoisovalerate dehydrogenase E1 component, beta subunit [EC:1.2.4.4] 	1.2.4.4  3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) 	1.2.4  With a disulfide as acceptor 	1.2  Acting on the aldehyde or oxo group of donors 	<b>1. Oxidoreductases</b> 	
C25F6.3 dpyd-1; DihydroPYrimidine Dehydrogenase family member (dpyd-1)	K00207 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2] 	1.3.1.2  dihydropyrimidine dehydrogenase (NADP+) 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F53C11.3 hypothetical protein	K13236 2,4-dienoyl-CoA reductase, mitochondrial [EC:1.3.1.34] 	1.3.1.34  2,4-dienoyl-CoA reductase (NADPH) 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
W09H1.5 hypothetical protein	K07512 mitochondrial trans-2-enoyl-CoA reductase [EC:1.3.1.38] 	1.3.1.38  trans-2-enoyl-CoA reductase (NADPH) 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
Y48A6B.9 hypothetical protein	K07512 mitochondrial trans-2-enoyl-CoA reductase [EC:1.3.1.38] 	1.3.1.38  trans-2-enoyl-CoA reductase (NADPH) 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
M106.3 hypothetical protein	K13949 rostaglandin reductase 2 [EC:1.3.1.48] 	1.3.1.48  15-oxoprostaglandin 13-oxidase 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F52H2.6 hypothetical protein	K09828 delta24-sterol reductase [EC:1.3.1.72] 	1.3.1.72  Delta24-sterol reductase 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
F36A2.2 hypothetical protein	K05542 tRNA-dihydrouridine synthase 1 [EC:1.3.1.88] 	1.3.1.88  tRNA-dihydrouridine16/17 synthase [NAD(P)+] 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
Y37E11B.5 hypothetical protein	K05544 tRNA-dihydrouridine synthase 3 [EC:1.3.1.89] 	1.3.1.89  tRNA-dihydrouridine47 synthase [NAD(P)+] 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
C45G9.2 hypothetical protein	K05545 tRNA-dihydrouridine synthase 4 [EC:1.3.1.90] 	1.3.1.90  tRNA-dihydrouridine20a/20b synthase [NAD(P)+] 	1.3.1  With NAD+ or NADP+ as acceptor 	1.3  Acting on the CH-CH group of donors 	<b>1. Oxidoreductases</b> 	
