GENES 	KO 	C 	B 	A 	
F57B10.3 hypothetical protein	K15633 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T21B10.2 enol-1; ENOLase family member (enol-1)	K01689 enolase [EC:4.2.1.11] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
ZK593.1 hypothetical protein	K00873 pyruvate kinase [EC:2.7.1.40] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F25H5.3 hypothetical protein	K00873 pyruvate kinase [EC:2.7.1.40] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H10.6 hypothetical protein	K00161 pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C04C3.3 hypothetical protein	K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C30H6.7 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F23B12.5 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
LLC1.3 hypothetical protein	K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F13D12.2 ldh-1; Lactate DeHydrogenase family member (ldh-1)	K00016 L-lactate dehydrogenase [EC:1.1.1.27] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
H24K24.3 hypothetical protein	K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2063.1 hypothetical protein	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K12G11.4 sodh-2; SOrbitol DeHydrogenase family member (sodh-2)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K12G11.3 sodh-1; SOrbitol DeHydrogenase family member (sodh-1)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C36A4.9 hypothetical protein	K01895 acetyl-CoA synthetase [EC:6.2.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C01B4.6 hypothetical protein	K01785 aldose 1-epimerase [EC:5.1.3.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y19D10A.16 hypothetical protein	K01785 aldose 1-epimerase [EC:5.1.3.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50D2.7 hypothetical protein	K08074 ADP-dependent glucokinase [EC:2.7.1.147] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R11A5.4 hypothetical protein	K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
W05G11.6 hypothetical protein	K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T20G5.2 cts-1; CiTrate Synthase family member (cts-1)	K01647 citrate synthase [EC:2.3.3.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0365.1 hypothetical protein	K01648 ATP citrate (pro-S)-lyase [EC:2.3.3.8] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D1005.1 hypothetical protein	K01648 ATP citrate (pro-S)-lyase [EC:2.3.3.8] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F54H12.1 aco-2; ACOnitase family member (aco-2)	K01681 aconitate hydratase 1 [EC:4.2.1.3] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
ZK455.1 aco-1; ACOnitase family member (aco-1)	K01681 aconitate hydratase 1 [EC:4.2.1.3] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C34F6.8 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F59B8.2 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C37E2.1 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F35G12.2 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F43G9.1 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C30F12.7 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T22B11.5 hypothetical protein	K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
W02F12.5 hypothetical protein	K00658 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
LLC1.3 hypothetical protein	K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C05G5.4 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F23H11.3 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F7.4 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F47B10.1 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C03G5.1 sdha-1; Succinate DeHydrogenase complex subunit A family member (sdha-1)	K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C34B2.7 sdha-2; Succinate DeHydrogenase complex subunit A family member (sdha-2)	K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F42A8.2 sdhb-1; Succinate DeHydrogenase complex subunit B family member (sdhb-1)	K00235 succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T07C4.7 mev-1; abnormal MEthyl Viologen sensitivity family member (mev-1)	K00236 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F33A8.5 sdhd-1; Succinate DeHydrogenase complex subunit D family member (sdhd-1)	K00237 succinate dehydrogenase (ubiquinone) membrane anchor subunit 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
H14A12.2 fum-1; FUMarase family member (fum-1)	K01679 fumarate hydratase, class II [EC:4.2.1.2] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F46E10.10 hypothetical protein	K00025 malate dehydrogenase [EC:1.1.1.37] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F20H11.3 mdh-1; Malate DeHydrogenase family member (mdh-1)	K00026 malate dehydrogenase [EC:1.1.1.37] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
D2023.2 pyc-1; PYruvate Carboxylase family member (pyc-1)	K01958 pyruvate carboxylase [EC:6.4.1.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R11A5.4 hypothetical protein	K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
W05G11.6 hypothetical protein	K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H10.6 hypothetical protein	K00161 pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C04C3.3 hypothetical protein	K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C30H6.7 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F23B12.5 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	00020 Citrate cycle (TCA cycle) [PATH:cel00020] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y87G2A.8 gpi-1; Glucose-6-Phosphate Isomerase family member (gpi-1)	K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0035.5 glucose-6-phosphate-1-dehydrogenase	K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y57G11C.3 hypothetical protein	K01057 6-phosphogluconolactonase [EC:3.1.1.31] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T25B9.9 hypothetical protein	K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F08F8.7 hypothetical protein	K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01G10.1 hypothetical protein	K00615 transketolase [EC:2.2.1.1] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y24D9A.8 hypothetical protein	K00616 transaldolase [EC:2.2.1.2] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0280.3 hypothetical protein	K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F09E5.3 hypothetical protein	K01619 deoxyribose-phosphate aldolase [EC:4.1.2.4] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F07A11.5 hypothetical protein	K00852 ribokinase [EC:2.7.1.15] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R151.2 hypothetical protein	K00948 ribose-phosphate pyrophosphokinase [EC:2.7.6.1] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F26D11.1 hypothetical protein	K00851 gluconokinase [EC:2.7.1.12] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05D4.1 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01F1.12 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K07A3.1 fbp-1; Fructose-1,6-BiPhosphatase family member (fbp-1)	K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F4.2 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y71H10A.1 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00030 Pentose phosphate pathway [PATH:cel00030] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y105E8B.9 hypothetical protein	K01195 beta-glucuronidase [EC:3.2.1.31] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
B0310.5 ugt-46; UDP-GlucuronosylTransferase family member (ugt-46)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.7 ugt-55; UDP-GlucuronosylTransferase family member (ugt-55)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T04H1.8 ugt-56; UDP-GlucuronosylTransferase family member (ugt-56)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F35H8.6 ugt-58; UDP-GlucuronosylTransferase family member (ugt-58)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C18C4.3 ugt-48; UDP-GlucuronosylTransferase family member (ugt-48)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T07C5.1 ugt-50; UDP-GlucuronosylTransferase family member (ugt-50)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F39G3.1 ugt-61; UDP-GlucuronosylTransferase family member (ugt-61)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
M88.1 ugt-62; UDP-GlucuronosylTransferase family member (ugt-62)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C17G1.3 ugt-23; UDP-GlucuronosylTransferase family member (ugt-23)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F29F11.1 sqv-4; SQuashed Vulva family member (sqv-4)	K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K08E3.5 hypothetical protein	K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y71F9B.9 hypothetical protein	K13247 L-gulonate 3-dehydrogenase [EC:1.1.1.45] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F08F8.7 hypothetical protein	K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R08D7.7 hypothetical protein	K00854 xylulokinase [EC:2.7.1.17] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y39G8B.1 hypothetical protein	K00011 aldehyde reductase [EC:1.1.1.21] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
R11D1.11 dhs-21; DeHydrogenases, Short chain family member (dhs-21)	K03331 L-xylulose reductase [EC:1.1.1.10] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00040 Pentose and glucuronate interconversions [PATH:cel00040] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C05C8.7 hypothetical protein	K01809 mannose-6-phosphate isomerase [EC:5.3.1.8] 	00051 Fructose and mannose metabolism [PATH:cel00051] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
